,Approval of my requests,"Approve all leave requests 
",Approve all pending requests.,"Approve all unpaid leaves 
",Approve my reportees leave requests,Display all my prossessed requests,Give me list of all the approved requests for this year,"HI Darwin, I can't seem to find the invite sent by Rez.",I want a list of my approved requests in the month of May 2018,My Approvar not able to approve the leaves,My approved requests,My reportees leaves approvals ,My reportees pending attendance adjustment requests,Provide a list of my prossessed requests,Raj's approved requests,Revoke my leave application,Show a list of my pending approvals,Show approved approvals,Show me my pending approval requests,Show my approved attendance adjustment requests,Show my pending approvals ,Show pending approvals,Show processed approvals,how do i approve separation workflow?,i want to revoke the approved leave,leave approval,not able to approve attendance regularization request,please approve sir,separation approvals not open kindly check,show approval,show approvals,show approvasl,show my approved leave requests,show my approved requests,show my processed approvals ,show reportees approvals ,step to approve travel request,unable to approve reimbursement,view approvala,view approvals,view my approvals,where are my approved requests,why i can't approve the resignation  file?
My approved requests,0.2103712050478217,0.5806241881476915,0.4304013604253324,0.7367959569892294,0.5879750306203169,0.5271555472034688,0.2894001783219847,0.7281746691164743,0.29527322439400705,0.5731539443006458,0.0,0.5247508342163297,0.6273360427775397,0.371085000741042,0.41236819633798627,0.7630584518305809,0.4788214266051647,0.4562574903747729,0.3597588671108639,0.44802541715216393,0.456977660960452,0.5381710024747872,0.5431507179890158,0.7679958895414684,0.6766512559696883,0.5651825528032124,0.6201937047086735,0.6039570605430634,0.5897138020945214,0.4410319465998892,0.49437374403651124,0.7405146366290869,0.3930199944984557,0.22903997775987217,0.478429514959428,0.5851670818431081,0.6244393339727539,0.6018434337676318,0.5219915333104769,0.5174271871113956,0.45474561402260705,0.25357907534712987,0.6709205181021969
My reportees leaves approvals ,0.5433961699632653,0.5723281708167387,0.6854632097124301,0.5843573591395066,0.2799882491133313,0.8779406117089327,0.6270631205290649,0.9278782471516389,0.6492838114015282,0.4897034257648708,0.5247508342163297,0.0,0.4125862251001543,0.843877131758305,0.5818969578751547,0.6549906414874385,0.583318335023969,0.5045163046774823,0.5882970725592829,0.5781840475909006,0.5558281742456812,0.5610794364546521,0.563371994533718,0.6399651115609559,0.5638765950368434,0.42024789456687617,0.649411887083167,0.7639667371730743,0.5707669966628488,0.5215033694006947,0.49407922057152187,0.8369010597622872,0.5350230136421064,0.5993482006178048,0.55050168602067,0.27852560832716544,0.6866921474052368,0.6578339464577715,0.5381581406334688,0.4919736393089307,0.5398832166725653,0.6129741267623434,0.5511405753527262
My reportees pending attendance adjustment requests,0.5971301629875363,0.6000263091787977,0.6436956768479914,0.6031973868990788,0.3369415865734944,0.8703003840683438,0.6199988172537467,0.9104383593932099,0.7045965102503091,0.6782032453578108,0.6273360427775397,0.4125862251001543,0.0,0.7772258261970314,0.6529252503407543,0.6973836878334688,0.7869512855545652,0.8578435398695101,0.7263144996643582,0.3293902639403683,0.7860120319830214,0.7794645606161266,0.8625116895855882,0.7522144829623258,0.6748175471710516,0.6683166958147226,0.42127018845797537,0.8801806194327325,0.7621921817634901,0.830861441393875,0.8322872600509301,0.8891829810754901,0.6215487219798708,0.786437224983319,0.8637169314706477,0.5864308695880445,0.7072184031861364,0.6884901631626643,0.8003589517797706,0.802916687866241,0.8595855879589329,0.7485893183724949,0.6873957850896881
Provide a list of my prossessed requests,0.4455576688170112,0.7436892827002122,0.5025414121258751,0.9125913215388443,0.7878009317922889,0.3431279388702245,0.41355757930019654,0.7786994832830862,0.46479579233779766,0.8317872834246736,0.371085000741042,0.843877131758305,0.7772258261970314,1.1102230246251565e-16,0.585971173844466,0.9317159321946459,0.6737970847264165,0.8315898701118077,0.58009737285254,0.6875126090701746,0.7233834987342611,0.8120934053642659,0.8324864265455532,0.9286033293277216,0.9152414839580473,0.8847400037864439,0.8573439239021046,0.7710819424167896,0.8623282311920599,0.7758113345555869,0.7753125384063051,0.7137079865347332,0.657595128777988,0.5031426909347949,0.7592886867942694,0.8279033121169843,0.8271902131057067,0.8597991132287959,0.7728087100258159,0.8023587907969361,0.7234934803953211,0.5557654296062373,0.8972906443704923
Raj's approved requests,0.43081095462478813,0.6384556917836839,0.5511306216169838,0.7393918843324478,0.5905343752012988,0.7645213917616939,0.4231138505355907,0.7809221916382236,0.5047778811619709,0.6476182376656441,0.41236819633798627,0.5818969578751547,0.6529252503407543,0.585971173844466,0.0,0.8243580219211195,0.7330643088790982,0.67997693868551,0.6603909787747653,0.6802496061585014,0.7323909767375709,0.7175362720672405,0.7613481004326104,0.7384424840380917,0.6857024761555885,0.6378412313275135,0.6526468252072636,0.6755699312536202,0.6528412469582208,0.6260927032125703,0.7053464578074129,0.8506176975019707,0.659895120979926,0.605650943480028,0.7773610983779417,0.6818650046052599,0.5752378090100255,0.6062955292977623,0.6613661207683569,0.6829277771094555,0.7523634146911385,0.5947934256484766,0.6911490090977495
Revoke my leave application,0.7616409644764095,0.4267957132235165,0.8444819187042791,0.4243908498873472,0.5030644779143609,0.9638642918096796,0.7934129027537783,0.9879983248322922,0.7773985115471967,0.6007633284563271,0.7630584518305809,0.6549906414874385,0.6973836878334688,0.9317159321946459,0.8243580219211195,0.0,0.8296450099839792,0.8620993762931385,0.7700919312831979,0.6650721047445539,0.8013784505684063,0.863487180783905,0.8851424626318769,0.7107216042039218,0.16139839775172538,0.390871682399494,0.6560303715508674,0.8507699320460648,0.7579979401883274,0.831369188642072,0.8572418270465246,0.9160201960807569,0.46583777118491587,0.8223781793575544,0.8253755323017966,0.902083676867805,0.7491544512442961,0.7050510903643613,0.7899230235592503,0.8288795090224634,0.7709806687280155,0.8035809346815999,0.531258352806375
Show a list of my pending approvals,0.5194640642334759,0.6687422784901935,0.592708491733976,0.7415062054988328,0.7211199753450391,0.5409967725450338,0.5098480892300499,0.9546526350866181,0.4312287012864696,0.6466289556184756,0.4788214266051647,0.583318335023969,0.7869512855545652,0.6737970847264165,0.7330643088790982,0.8296450099839792,0.0,0.19867957521940904,0.10610566618721906,0.47015265647499116,0.05386255988571331,0.10623826736196207,0.1731731288078957,0.823986788962561,0.7727046941435537,0.6738980805844232,0.8047358092092276,0.7351585928046926,0.6601640178220203,0.4220649986254541,0.21002796465174645,0.7966626042313288,0.39216760964985276,0.2470662898558098,0.14503097694216505,0.3474563616605314,0.7438380662571771,0.7806174961357553,0.41891495023374514,0.3242734024075101,0.19637906783337422,0.4418147366384805,0.7045785059983704
Show approved approvals,0.5434757644428871,0.687287515911256,0.6656410625081295,0.7535913041352754,0.7270187425536996,0.6663598112699569,0.5076609270260235,0.928437332661483,0.47895136356967594,0.6129237802699222,0.4562574903747729,0.5045163046774823,0.8578435398695101,0.8315898701118077,0.67997693868551,0.8620993762931385,0.19867957521940904,0.0,0.24210475932378706,0.47996848484274235,0.1631733096179917,0.12294723859922174,0.09522747026524281,0.8011855454177312,0.7103652838385774,0.5930287155803304,0.7657426960688757,0.6992646932552752,0.6299547809292045,0.2439156634434595,0.0633657681543146,0.7170236204841048,0.3856626514387774,0.22617850101183723,0.15804775576849195,0.2240651927864764,0.6784589997525872,0.6986949533276954,0.28762800214875495,0.19798556829404412,0.2007335824308102,0.42751190050466814,0.6961064157645056
Show me my pending approval requests,0.36886028772829127,0.6079275552608172,0.48456608614770125,0.7404823018548151,0.6537363517329434,0.4604919783060599,0.44881380661141945,0.9311207878537625,0.38316696790376337,0.6033002211513435,0.3597588671108639,0.5882970725592829,0.7263144996643582,0.58009737285254,0.6603909787747653,0.7700919312831979,0.10610566618721906,0.24210475932378706,0.0,0.40364605086040695,0.06675597351515838,0.1235094590735828,0.24082954446506322,0.7823388495347908,0.7291129844536135,0.6214167146859374,0.7208455554732556,0.7012340420939933,0.603370856418324,0.40004694100450877,0.2550619684362643,0.7826930979216453,0.3221412641393768,0.1536867735586135,0.20985270781697696,0.3978394828659666,0.6657566545810824,0.7368430028932941,0.41066728286197585,0.34391531637211603,0.2481666095356112,0.3139077211140612,0.6612376614446971
Show my approved attendance adjustment requests,0.48862856717320524,0.5213209987752672,0.641727775856296,0.5834671412390761,0.4949171854390606,0.6000899603798129,0.5145478402763377,0.8748193860823276,0.4822056144511203,0.6030544001393694,0.44802541715216393,0.5781840475909006,0.3293902639403683,0.6875126090701746,0.6802496061585014,0.6650721047445539,0.47015265647499116,0.47996848484274235,0.40364605086040695,1.1102230246251565e-16,0.46174904479162937,0.5028855851583226,0.5220130329489009,0.7796471750639306,0.62599427419498,0.5922578014689974,0.39908379853787446,0.789950061676564,0.7469550740704123,0.551233620089244,0.46768880833561,0.7408858571813075,0.2853493145460051,0.3599291535960166,0.4906519272922041,0.510107803175521,0.6664300548109375,0.6984184481053942,0.5537787834882433,0.5344883990628517,0.46724022976043555,0.4694752315522308,0.6934591015276429
Show my pending approvals ,0.4892011903292153,0.6972278752464609,0.5856545199139973,0.7458228460187146,0.7320441603769869,0.5790946652609399,0.5631296348911536,0.9519602555250953,0.4869171882861053,0.5787159727905891,0.456977660960452,0.5558281742456812,0.7860120319830214,0.7233834987342611,0.7323909767375709,0.8013784505684063,0.05386255988571331,0.1631733096179917,0.06675597351515838,0.46174904479162937,2.220446049250313e-16,0.06524598088887756,0.1438157500977414,0.7911689390724697,0.7211035868384257,0.6361668696828615,0.7645882929632637,0.7231462059480779,0.593852052646953,0.3577766766300312,0.17270224677351187,0.7736453466155219,0.3753498477063726,0.2244582523370141,0.1104223270495781,0.3501253398890417,0.7235629741473222,0.742684346433959,0.3647153372778097,0.280353919567519,0.16866991543178078,0.4157925635857146,0.6363358218567113
Show pending approvals,0.5438420085320479,0.6893972989291703,0.584600712481899,0.7529087186540673,0.7197376701670106,0.6710283710943771,0.5458844087203581,0.9641724036562783,0.5260988496847713,0.620583365462919,0.5381710024747872,0.5610794364546521,0.7794645606161266,0.8120934053642659,0.7175362720672405,0.863487180783905,0.10623826736196207,0.12294723859922174,0.1235094590735828,0.5028855851583226,0.06524598088887756,0.0,0.11805007056525296,0.7796248940858131,0.7679015976687786,0.6274196600770245,0.7475831499463472,0.7365090990959406,0.5854547338520031,0.35763613028318064,0.15113441968244146,0.7797003431382111,0.44344274665978245,0.3025773738032618,0.20078807879654315,0.3039358017754574,0.7082993640417982,0.7499328630266486,0.34472303716566377,0.26207811903720024,0.28446239133310225,0.4992722702994049,0.6773230198732174
Show processed approvals,0.6227969754113556,0.7524390866675005,0.6718993157516666,0.7861180305803304,0.7928822683811984,0.6089929116567007,0.5728211384854449,0.9527999685784432,0.5197805538023716,0.6396627021393775,0.5431507179890158,0.563371994533718,0.8625116895855882,0.8324864265455532,0.7613481004326104,0.8851424626318769,0.1731731288078957,0.09522747026524281,0.24082954446506322,0.5220130329489009,0.1438157500977414,0.11805007056525296,0.0,0.7978857541417438,0.7679178641319491,0.6888022550887271,0.8288945456498449,0.7777484836208951,0.6304536478358143,0.38614218245264986,0.1365847815824882,0.7451771884080014,0.4374870843416999,0.26866141922502873,0.06220815148930181,0.288746790748319,0.7619132851476041,0.7768190206080176,0.33953536220927405,0.22749221969916844,0.19791533796802308,0.463466731008061,0.725408598698172
how do i approve separation workflow?,0.6633242592594889,0.6210234116366691,0.6817203647224863,0.6452037395828556,0.5751087451905837,1.0098302459250261,0.8313836351434749,0.958548112730502,0.8481156246621775,0.7152700411893325,0.7679958895414684,0.6399651115609559,0.7522144829623258,0.9286033293277216,0.7384424840380917,0.7107216042039218,0.823986788962561,0.8011855454177312,0.7823388495347908,0.7796471750639306,0.7911689390724697,0.7796248940858131,0.7978857541417438,0.0,0.598012984212472,0.5050385426033022,0.7212406759704268,0.8571317178569458,0.3685140714371886,0.7635558349732311,0.8249301782736516,0.9616273258483413,0.7000851660518097,0.8399627229298909,0.8196419528170318,0.8096431516423519,0.6038054358123974,0.7301706278148256,0.8112022847618501,0.797010092659169,0.8457713863830868,0.8070815424301804,0.6209551063780212
i want to revoke the approved leave,0.7017089207822933,0.41220242693185016,0.753133504491049,0.3680802331098926,0.48790214338214066,0.9719751743890569,0.706693285675662,0.9292146225839022,0.6859502418244092,0.48578859143771835,0.6766512559696883,0.5638765950368434,0.6748175471710516,0.9152414839580473,0.6857024761555885,0.16139839775172538,0.7727046941435537,0.7103652838385774,0.7291129844536135,0.62599427419498,0.7211035868384257,0.7679015976687786,0.7679178641319491,0.598012984212472,0.0,0.33960212242569177,0.551311762569767,0.7753689710420179,0.6381479301207724,0.7047027450828066,0.7399375775030808,0.8740517696435536,0.44664139448576257,0.7421217366260089,0.7269210615756511,0.8154215321228871,0.6860581157515928,0.5689431605709186,0.6534099759146015,0.7103693227919734,0.682646950718402,0.7074674152251179,0.42108320426800583
leave approval,0.49611006255414836,0.2719222767045709,0.6398158475730815,0.30686133695486495,0.33245145296404177,1.0286895081540213,0.6606130979776412,0.882859627801157,0.698501815307967,0.4657785938853716,0.5651825528032124,0.42024789456687617,0.6683166958147226,0.8847400037864439,0.6378412313275135,0.390871682399494,0.6738980805844232,0.5930287155803304,0.6214167146859374,0.5922578014689974,0.6361668696828615,0.6274196600770245,0.6888022550887271,0.5050385426033022,0.33960212242569177,0.0,0.6024036002234378,0.673105071961775,0.509894764933226,0.4779884178307595,0.5850560391464545,0.8741176903793793,0.39803533107753464,0.6845006684146402,0.6996868841755941,0.651169373498752,0.541391502426386,0.6322827655916092,0.5403390943330664,0.5631752244094991,0.6398673210643645,0.6538805428055725,0.4296683798762918
not able to approve attendance regularization request,0.5738220551344442,0.5685756098997781,0.6691204564902579,0.6323308432066372,0.5638280298284939,0.9925222552682084,0.6371585769260873,0.7917973430966228,0.6774232952691058,0.4600972555511257,0.6201937047086735,0.649411887083167,0.42127018845797537,0.8573439239021046,0.6526468252072636,0.6560303715508674,0.8047358092092276,0.7657426960688757,0.7208455554732556,0.39908379853787446,0.7645882929632637,0.7475831499463472,0.8288945456498449,0.7212406759704268,0.551311762569767,0.6024036002234378,0.0,0.7769649043167846,0.5935151888936812,0.6983829212531802,0.7755498881426004,0.8971682483502481,0.6496420277360773,0.7587985452614736,0.839977875446173,0.7918355238513922,0.5709268075628793,0.4636822282727805,0.6831061216631478,0.7599697001784287,0.8128530142565779,0.687599794303993,0.5118909054984456
please approve sir,0.6446426052729112,0.744905620184168,0.7082793216105213,0.8212481482509069,0.7665314905278846,0.9029899846696067,0.6866574773584744,0.8290460759345849,0.7083732811883277,0.7703925809611207,0.6039570605430634,0.7639667371730743,0.8801806194327325,0.7710819424167896,0.6755699312536202,0.8507699320460648,0.7351585928046926,0.6992646932552752,0.7012340420939933,0.789950061676564,0.7231462059480779,0.7365090990959406,0.7777484836208951,0.8571317178569458,0.7753689710420179,0.673105071961775,0.7769649043167846,0.0,0.8117465962360554,0.5643908258996468,0.704644667424752,0.832310723078235,0.777139885216797,0.7184145202440875,0.7754834624767429,0.7598955154622431,0.8024108378599095,0.7800090323343216,0.6834861516410777,0.7371478343884637,0.7291828928239238,0.772057393520153,0.751794592319601
separation approvals not open kindly check,0.5591523492738303,0.6657227898862834,0.6692190469774162,0.7487684846582892,0.6587724995998991,0.9530563514056171,0.6929077577834043,0.8313811217411045,0.7048147031767475,0.4682155524471797,0.5897138020945214,0.5707669966628488,0.7621921817634901,0.8623282311920599,0.6528412469582208,0.7579979401883274,0.6601640178220203,0.6299547809292045,0.603370856418324,0.7469550740704123,0.593852052646953,0.5854547338520031,0.6304536478358143,0.3685140714371886,0.6381479301207724,0.509894764933226,0.5935151888936812,0.8117465962360554,2.220446049250313e-16,0.6506016436892239,0.6433375441164869,0.9324652136718964,0.6643720619635649,0.6907524278292267,0.6441109357640715,0.7303863215920268,0.6674688631997572,0.5994671061963746,0.5813783722029997,0.6119638968054126,0.6700201576834133,0.662081695316183,0.49387971356024396
show approval,0.3880735539018957,0.6461316989086423,0.5948519996489475,0.7052564996330641,0.7046621501645925,0.787618544242717,0.6052532435584238,0.8764114832516618,0.6299167226466722,0.5387497247298184,0.4410319465998892,0.5215033694006947,0.830861441393875,0.7758113345555869,0.6260927032125703,0.831369188642072,0.4220649986254541,0.2439156634434595,0.40004694100450877,0.551233620089244,0.3577766766300312,0.35763613028318064,0.38614218245264986,0.7635558349732311,0.7047027450828066,0.4779884178307595,0.6983829212531802,0.5643908258996468,0.6506016436892239,0.0,0.18310090000478185,0.5685058639562386,0.5149255395915739,0.4001309393645872,0.3945036289467603,0.37292098344923685,0.5658565219736906,0.6307158707978415,0.2960886494261292,0.30973995564500956,0.36059133580663216,0.5649850429830006,0.6543246878437361
show approvals,0.5309669182987204,0.6960230317773524,0.6779018955857272,0.7441401070654172,0.7225485935428915,0.6187059086396958,0.5549699701385362,0.9181254749632306,0.5327256132320147,0.5884784817154591,0.49437374403651124,0.49407922057152187,0.8322872600509301,0.7753125384063051,0.7053464578074129,0.8572418270465246,0.21002796465174645,0.0633657681543146,0.2550619684362643,0.46768880833561,0.17270224677351187,0.15113441968244146,0.1365847815824882,0.8249301782736516,0.7399375775030808,0.5850560391464545,0.7755498881426004,0.704644667424752,0.6433375441164869,0.18310090000478185,0.0,0.653487541387769,0.4031046258833756,0.2537445163666755,0.17820669080732277,0.19052189456608737,0.6993212451712736,0.7413831257228038,0.223006356638904,0.13993047172034223,0.15324863633008734,0.4675637653669831,0.7005757732114527
show approvasl,0.8072580220012414,0.9527530689595851,0.8856487965563866,0.907987916968886,0.9068467280282192,0.7195014775500522,0.8036232182732919,0.8487702677388053,0.8267569924766216,0.7077958508279671,0.7405146366290869,0.8369010597622872,0.8891829810754901,0.7137079865347332,0.8506176975019707,0.9160201960807569,0.7966626042313288,0.7170236204841048,0.7826930979216453,0.7408858571813075,0.7736453466155219,0.7797003431382111,0.7451771884080014,0.9616273258483413,0.8740517696435536,0.8741176903793793,0.8971682483502481,0.832310723078235,0.9324652136718964,0.5685058639562386,0.653487541387769,0.0,0.7577955631175999,0.7366320506863251,0.7306643089794971,0.7472661770271252,0.8699195142858798,0.8862048556025508,0.6801019556437733,0.7863892987543901,0.7819120846199088,0.8930363613995973,0.8779987968190557
show my approved leave requests,0.48150035990582385,0.30207470224992616,0.6529997572364286,0.4325092356336858,0.37670493165393204,0.5739605027069208,0.48051975389379986,0.8652267647768407,0.3949702401638009,0.585312827208472,0.3930199944984557,0.5350230136421064,0.6215487219798708,0.657595128777988,0.659895120979926,0.46583777118491587,0.39216760964985276,0.3856626514387774,0.3221412641393768,0.2853493145460051,0.3753498477063726,0.44344274665978245,0.4374870843416999,0.7000851660518097,0.44664139448576257,0.39803533107753464,0.6496420277360773,0.777139885216797,0.6643720619635649,0.5149255395915739,0.4031046258833756,0.7577955631175999,0.0,0.2546141946809112,0.3891966819889674,0.4862993182093872,0.6405483175007405,0.7460819975443953,0.5584472659277854,0.5062099742276058,0.3722690182514167,0.37475245813167335,0.6199182199843296
