,"Can you give the list of all my requests
",DO i have any requests,Find my recent leave requests,"Give me the list of my all  requests
","Give me the list of pending requests
","Give me the list of processed requests
",Harsha leave requests,Has my leave request been approved,"I want to know which all requests I have made
","I want to see my requests
",Ranaq leave request,"Show me my approved requests
","Show my pending requests
","Show my requests
","Show which all requests have I made
","Tell me the list of my all requests
",View old Request,how i can view my request,is my request approved,pending request,pending requests,raise request,request pending,requests,show all requests for this month,"show me the requests I have made
",show my requests,show requests,status of my request,what happened to my request
Ranaq leave request,0.8629203552991513,0.7396475546563548,0.6731213357632606,0.8760728202998829,0.8085879575324646,0.8568538457491653,0.30492704450892805,0.5183491226592409,0.8939081059189528,0.8816925509207169,2.220446049250313e-16,0.8893929209083118,0.8935705311612281,0.8918056046722275,0.9600992727055067,0.870701494914486,0.8840865712308374,0.903341581566768,0.6709257957882655,0.7414160746448493,0.7964108501957649,0.6701483626787219,0.7397531709204725,0.7638251234106372,0.9032823042929856,0.8511420596482872,0.8918056046722275,0.8809256051365917,0.7043763462391289,0.8029015298415821
"Show me my approved requests
",0.4022420409963545,0.5930454931961222,0.48166772694887905,0.36248591924259066,0.3990780302589646,0.3589308042093019,0.9119765988480005,0.6560342972474102,0.2695940512030143,0.2687346282138382,0.8893929209083118,2.220446049250313e-16,0.2717198588875397,0.23078543655187556,0.2642442002174521,0.3736226784269999,0.4772093707552747,0.40027960865130685,0.5898904013016779,0.5391260255850281,0.4996913067162474,0.7393076402772231,0.5264806423320272,0.6128362541443547,0.5362773236853526,0.19819551021030735,0.23078543655187556,0.41455657409780866,0.5369366325277045,0.5942275008836717
"Show my pending requests
",0.40117069139684747,0.5700423716021662,0.6410982119026122,0.3732485793119368,0.17677843089645662,0.2851568359506015,0.9200989061532426,0.8098314306470656,0.3945147231828139,0.28505728150211185,0.8935705311612281,0.2717198588875397,0.0,0.18795037408542237,0.3159791111237453,0.3887871943717002,0.47025672658566076,0.3881809521541071,0.7065123169520812,0.3263616304254767,0.2421876369805246,0.7125082939350025,0.3843191275141874,0.5964835189155979,0.5199591346147017,0.2945643366609263,0.18795037408542237,0.32920578616755847,0.49238445107448026,0.606964385772067
"Show my requests
",0.2668073208909768,0.44744554681156334,0.5742743845644029,0.240692999132894,0.32600185304950624,0.30873973907143804,0.9082655627900619,0.7991950656666633,0.2381906972599246,0.11715754702786207,0.8918056046722275,0.23078543655187556,0.18795037408542237,1.1102230246251565e-16,0.20305147045284355,0.25440452001209046,0.4056629806995292,0.2283295483533485,0.6174988345186809,0.5036567064268714,0.45012657007540235,0.6638377294828899,0.5046842682996779,0.4803700152908912,0.44071785296126964,0.12051579218063402,1.1102230246251565e-16,0.15712684012781664,0.4966314633199177,0.4917278779248201
"Show which all requests have I made
",0.3988186659602796,0.6236029950901556,0.45023651595122205,0.32161120470554005,0.4264380688888385,0.2810571332783801,0.960258203359003,0.839909034007088,0.15659140563245355,0.25783694735247975,0.9600992727055067,0.2642442002174521,0.3159791111237453,0.20305147045284355,2.220446049250313e-16,0.3504138460970171,0.3661327065492188,0.3824171702684631,0.7361050258716095,0.6614489882040497,0.5750078978707015,0.7898611449441577,0.6581173864772163,0.6314184767822306,0.3772064574205991,0.16550955678692514,0.20305147045284355,0.3763944262622382,0.6419155597811419,0.585798586565615
"Tell me the list of my all requests
",0.033792873779980415,0.37500343971964734,0.5887148238596238,0.005368922412833821,0.2518418525697098,0.2885766009770365,0.8701040805553101,0.780365828526842,0.19375814736362496,0.25078243943322787,0.870701494914486,0.3736226784269999,0.3887871943717002,0.25440452001209046,0.3504138460970171,1.1102230246251565e-16,0.5793349427236497,0.4069706577450296,0.6152466135372074,0.5015091725871611,0.46106093831726813,0.6741624263448138,0.4959477358935108,0.4318402663436557,0.5215632876570964,0.23663103477835623,0.25440452001209046,0.4061998266015826,0.4826263258973541,0.5039747472927669
View old Request,0.582540462089232,0.6708669771300995,0.5613848287968098,0.5602868934347675,0.5062420576286015,0.4282130154537642,0.8899206451180086,0.7935342182021757,0.4076600837589137,0.3727383587811566,0.8840865712308374,0.4772093707552747,0.47025672658566076,0.4056629806995292,0.3661327065492188,0.5793349427236497,0.0,0.33611622461331137,0.6977681224923822,0.5039785283405296,0.5268836394406938,0.6330838534712634,0.5322418465196694,0.6479813774985679,0.4774563182453432,0.3846223749186819,0.4056629806995292,0.4228496178941836,0.5227203653593442,0.39065478194168
how i can view my request,0.40010711237519836,0.5673095065920642,0.6521812470347266,0.3934048816912651,0.41483970425859473,0.3906599303018242,0.9147069894788384,0.7651675071410616,0.2865047695501288,0.1670380402808539,0.903341581566768,0.40027960865130685,0.3881809521541071,0.2283295483533485,0.3824171702684631,0.4069706577450296,0.33611622461331137,0.0,0.6139408620772517,0.47040614069013886,0.5663062834830344,0.6362145378636133,0.47790729180151936,0.5897581552226054,0.5615568135211296,0.2909098923090614,0.2283295483533485,0.3762135505081058,0.41402257930340813,0.3558007740609247
is my request approved,0.5863988819210495,0.38283371236828867,0.774116032237379,0.624863290289688,0.6027677461435366,0.6551120039750953,0.6970624065271078,0.4573877241163571,0.6231121857940474,0.6358192100933655,0.6709257957882655,0.5898904013016779,0.7065123169520812,0.6174988345186809,0.7361050258716095,0.6152466135372074,0.6977681224923822,0.6139408620772517,0.0,0.496108924041307,0.567332008090145,0.49361744334550206,0.432793896785475,0.5314914753204297,0.779450135919794,0.5672335091421217,0.6174988345186809,0.6390938437088586,0.25172359727509863,0.5492780823145769
pending request,0.495301311059834,0.4268800408657788,0.7409336076061646,0.5030981831849602,0.22621880031498964,0.4322962083133043,0.7646167064779397,0.6493977748562179,0.5763929230307402,0.4768289525996082,0.7414160746448493,0.5391260255850281,0.3263616304254767,0.5036567064268714,0.6614489882040497,0.5015091725871611,0.5039785283405296,0.47040614069013886,0.496108924041307,0.0,0.10578545082353263,0.4545652298956908,0.05253942722811089,0.384573405544015,0.6803966729938438,0.515354591472854,0.5036567064268714,0.4893721252688924,0.24749583738530379,0.374108433391371
pending requests,0.45172313865826996,0.422554161912738,0.7222578532620483,0.4593220168721678,0.16431617135550336,0.34624366121543537,0.7970823609909153,0.705914566703515,0.5480225809950681,0.4674828366695878,0.7964108501957649,0.4996913067162474,0.2421876369805246,0.45012657007540235,0.5750078978707015,0.46106093831726813,0.5268836394406938,0.5663062834830344,0.567332008090145,0.10578545082353263,0.0,0.5185538826606735,0.16297932315957198,0.3639617076263797,0.6251619059378046,0.4791002565744583,0.45012657007540235,0.4347821253782469,0.3425451654728221,0.47695229697262365
raise request,0.6600286426506456,0.47215752400558153,0.7429938696819686,0.6820782520803321,0.5873809570135256,0.698099919768105,0.6710930698065152,0.7046724325772793,0.6917337939383438,0.6454768051674162,0.6701483626787219,0.7393076402772231,0.7125082939350025,0.6638377294828899,0.7898611449441577,0.6741624263448138,0.6330838534712634,0.6362145378636133,0.49361744334550206,0.4545652298956908,0.5185538826606735,2.220446049250313e-16,0.4225615905780963,0.4580352229450959,0.7626874632896044,0.6083818727623751,0.6638377294828899,0.6277710065163654,0.3803952299778165,0.5191142160824416
request pending,0.48474015753878663,0.3789833961231459,0.7465425101097319,0.49714856955133446,0.2563506224119544,0.4471636674571945,0.7678561279673966,0.6350075300482818,0.5656551079282154,0.47054140542658285,0.7397531709204725,0.5264806423320272,0.3843191275141874,0.5046842682996779,0.6581173864772163,0.4959477358935108,0.5322418465196694,0.47790729180151936,0.432793896785475,0.05253942722811089,0.16297932315957198,0.4225615905780963,0.0,0.3353572123916344,0.6821377797969419,0.5028651154018051,0.5046842682996779,0.4864093170058992,0.22070496006070273,0.38299553465522407
requests,0.42151539012364725,0.2623471543392081,0.6941041856789989,0.4367099056425292,0.43052957886430965,0.5165407763426628,0.7518093066381221,0.7719723463138576,0.5641983615325439,0.4829827258339211,0.7638251234106372,0.6128362541443547,0.5964835189155979,0.4803700152908912,0.6314184767822306,0.4318402663436557,0.6479813774985679,0.5897581552226054,0.5314914753204297,0.384573405544015,0.3639617076263797,0.4580352229450959,0.3353572123916344,0.0,0.6564930005630097,0.46306543911608844,0.4803700152908912,0.4296482052072469,0.4490854116889904,0.507295560912778
show all requests for this month,0.535365171026229,0.65285994224763,0.5952781361566055,0.5068644037447658,0.501389655311065,0.4484748621951604,0.8920613586655968,0.851592095342769,0.46826251032229693,0.465385554585808,0.9032823042929856,0.5362773236853526,0.5199591346147017,0.44071785296126964,0.3772064574205991,0.5215632876570964,0.4774563182453432,0.5615568135211296,0.779450135919794,0.6803966729938438,0.6251619059378046,0.7626874632896044,0.6821377797969419,0.6564930005630097,2.220446049250313e-16,0.43743386985825916,0.44071785296126964,0.4874704113280264,0.6980836380491064,0.6501195102531611
"show me the requests I have made
",0.25675011294068706,0.4121876438537154,0.44139375458377994,0.22972096964450905,0.35130499789811087,0.32696504273701477,0.8684695836233004,0.7281980628993242,0.1283223235639196,0.14903061179655663,0.8511420596482872,0.19819551021030735,0.2945643366609263,0.12051579218063402,0.16550955678692514,0.23663103477835623,0.3846223749186819,0.2909098923090614,0.5672335091421217,0.515354591472854,0.4791002565744583,0.6083818727623751,0.5028651154018051,0.46306543911608844,0.43743386985825916,0.0,0.12051579218063402,0.31864774275891605,0.44611140774416735,0.44348840401386413
show my requests,0.2668073208909768,0.44744554681156334,0.5742743845644029,0.240692999132894,0.32600185304950624,0.30873973907143804,0.9082655627900619,0.7991950656666633,0.2381906972599246,0.11715754702786207,0.8918056046722275,0.23078543655187556,0.18795037408542237,1.1102230246251565e-16,0.20305147045284355,0.25440452001209046,0.4056629806995292,0.2283295483533485,0.6174988345186809,0.5036567064268714,0.45012657007540235,0.6638377294828899,0.5046842682996779,0.4803700152908912,0.44071785296126964,0.12051579218063402,1.1102230246251565e-16,0.15712684012781664,0.4966314633199177,0.4917278779248201
show requests,0.40712341794686013,0.45325899222060284,0.6901621971770544,0.3977410504496742,0.3850492847137287,0.3865616439788082,0.8759554504800048,0.8166033175793581,0.4429384814621532,0.29129346745114304,0.8809256051365917,0.41455657409780866,0.32920578616755847,0.15712684012781664,0.3763944262622382,0.4061998266015826,0.4228496178941836,0.3762135505081058,0.6390938437088586,0.4893721252688924,0.4347821253782469,0.6277710065163654,0.4864093170058992,0.4296482052072469,0.4874704113280264,0.31864774275891605,0.15712684012781664,0.0,0.5282703151006751,0.5208191682761518
status of my request,0.4657335197755125,0.3642396215098096,0.6775381706606848,0.4915030964281476,0.365667286509059,0.48083779453469644,0.7237714753061051,0.500079337029891,0.48170829430887274,0.4644549844800313,0.7043763462391289,0.5369366325277045,0.49238445107448026,0.4966314633199177,0.6419155597811419,0.4826263258973541,0.5227203653593442,0.41402257930340813,0.25172359727509863,0.24749583738530379,0.3425451654728221,0.3803952299778165,0.22070496006070273,0.4490854116889904,0.6980836380491064,0.44611140774416735,0.4966314633199177,0.5282703151006751,2.220446049250313e-16,0.35529068865632674
what happened to my request,0.49466010400406224,0.5004475204693313,0.6668994798479737,0.49728047757904614,0.4939171294584562,0.5348846550296571,0.8064396400222679,0.6445308396971945,0.4474854291458732,0.39300570047420325,0.8029015298415821,0.5942275008836717,0.606964385772067,0.4917278779248201,0.585798586565615,0.5039747472927669,0.39065478194168,0.3558007740609247,0.5492780823145769,0.374108433391371,0.47695229697262365,0.5191142160824416,0.38299553465522407,0.507295560912778,0.6501195102531611,0.44348840401386413,0.4917278779248201,0.5208191682761518,0.35529068865632674,2.220446049250313e-16
