,Check referral status,Show me the status of my referral,check referal status,check referral status,for the past one month that status is not changed for few of the candidates that i have referred can please help me with knowing there status,how many referrals have i submitted,i referred a employee through link but it is not showing under my referrals,is my referral selected,my refral,refer application status,referal status,referral status,refferal status,view refer candidate status,view referral candidate status,what is my referral status,what is the status of my referral,what is the status of referral,what stage is my referral,where is my referral stuck
referal status,0.2877480558830483,0.3109387744506138,0.1828357593907768,0.2877480558830483,0.5060842588150817,0.4047313837532748,0.49753916649248786,0.4053088101915646,0.6431526177504645,0.3371696084436018,0.0,0.15185652348952228,0.29347960119905936,0.29458349787072613,0.37343221066325794,0.21119028453113164,0.2939106173309888,0.19741912440743303,0.3437009729983117,0.45880157060175675
referral status,0.1689058734262039,0.1803476199482975,0.23959323846075065,0.1689058734262039,0.4405745169607389,0.27430593115088264,0.4747697172473784,0.2823249539616305,0.5923224715554614,0.3203000301528687,0.15185652348952228,0.0,0.3916616169853637,0.34772864456730934,0.2551737061193694,0.07936028505080184,0.1258611915510559,0.1382511297231216,0.23775442206781583,0.3281393630566064
refferal status,0.5039579184236216,0.5247043651786512,0.42993604605769276,0.5039579184236216,0.5575329972063576,0.6161931739185595,0.6755520299036321,0.6286090768115794,0.5064351340383495,0.5056524084243993,0.29347960119905936,0.3916616169853637,0.0,0.5185118884137114,0.580173357992438,0.4178902564355218,0.4451691234383498,0.40349730622882973,0.5773385911606753,0.6150875144331902
view refer candidate status,0.3085117956927149,0.3256190827670008,0.27358457743678544,0.3085117956927149,0.42510200192755054,0.5037879754636154,0.4991389027809596,0.5117872176509364,0.7833638828874155,0.2901143940543849,0.29458349787072613,0.34772864456730934,0.5185118884137114,0.0,0.10872509958332277,0.3962972748847102,0.4897556833632126,0.4073463600907543,0.5040363165493433,0.5853259869003585
view referral candidate status,0.1697485754575624,0.18910279061211643,0.2605273119560624,0.1697485754575624,0.4482428463874504,0.37699027610460756,0.44925861022366675,0.400077639670421,0.7157755893803668,0.3385349544156039,0.37343221066325794,0.2551737061193694,0.580173357992438,0.10872509958332277,0.0,0.3013387629944505,0.3766735678512011,0.3587202755475183,0.44653080822630686,0.4773249317103023
what is my referral status,0.18769618574017988,0.16666148145189486,0.2541870742972431,0.18769618574017988,0.46206658745023166,0.22447142612562665,0.4885722770639317,0.25624392001689833,0.5668914357598039,0.3635608270631435,0.21119028453113164,0.07936028505080184,0.4178902564355218,0.3962972748847102,0.3013387629944505,0.0,0.08515401444293469,0.18410823094857953,0.2229997299438885,0.30550990580802684
what is the status of my referral,0.25584811349450787,0.19108826436021598,0.3110127852939516,0.25584811349450787,0.5279149312971763,0.3076746210757271,0.49047703120572617,0.2652285620986524,0.5823018715644865,0.44423319195132627,0.2939106173309888,0.1258611915510559,0.4451691234383498,0.4897556833632126,0.3766735678512011,0.08515401444293469,0.0,0.22373743019409242,0.26964802989988523,0.24701856061775285
what is the status of referral,0.27974271867529066,0.29642077102054487,0.32882320885397687,0.27974271867529066,0.4976953412846231,0.37989492890130994,0.5225276028477608,0.3510959340328488,0.6340679770134935,0.41677025000539814,0.19741912440743303,0.1382511297231216,0.40349730622882973,0.4073463600907543,0.3587202755475183,0.18410823094857953,0.22373743019409242,0.0,0.28237588428917926,0.3853325038214095
what stage is my referral,0.37747066042730415,0.3576377390244617,0.4156432610262939,0.37747066042730415,0.63710849243517,0.3489114269096981,0.5754263609110718,0.37395904561771687,0.607320433616505,0.48804909727202916,0.3437009729983117,0.23775442206781583,0.5773385911606753,0.5040363165493433,0.44653080822630686,0.2229997299438885,0.26964802989988523,0.28237588428917926,0.0,0.3877109758751257
where is my referral stuck,0.3917177238724492,0.3685104096330232,0.45514598022125197,0.3917177238724492,0.6772703026698095,0.4123892388469327,0.3817825450112925,0.23971731933276186,0.6318680965650727,0.616523559579675,0.45880157060175675,0.3281393630566064,0.6150875144331902,0.5853259869003585,0.4773249317103023,0.30550990580802684,0.24701856061775285,0.3853325038214095,0.3877109758751257,0.0
