,Are there any tasks assigned to me right now,Did i clear all my tasks,Do i need to act on any pending tasks,HOW TO CANCEL LEAVE APPLIED IN DARWIN BOX,How do I cancel my leave application,How many pending tasks are exists,How to approve this change,Show Confirmation tasks,Show Continous feed back tasks,Show Custom workflow tasks,Show PMS tasks,Show Recruitment tasks,Show all tasks,Show continous feedback tasks,Show pending tasks in my Que,Show separation tasks,View taskbox,WHERE ARE THE PENDING TASKS,What's my pending task,cancel out duty,check leave requests,di task box raised by me masih ada,find my leave application,how can I update task,how do i cancel my leave appliaction,how to approve attendance,how to approve reimbursement,how to approve resignations,how to approve?,how to cancel attendance request,how to cancel the attendance request pending or edit the same,how to coco,how to delete cl,how to edit leave,"open tasks; the two tasks are now redundant, this needs to be cleared from the followup.",pending task,pending tasks,projects are not reflected properly in the project module,show my tasks,show pending tasks,task,taskbox,things to be done,view task,what activity,where is pending task,where to find resignation made by team member
Show PMS tasks,0.5704692611257239,0.5498486121089609,0.676144506159439,0.9595728907030748,0.9597110359349605,0.5512926879623232,0.9933440020228516,0.40012146581015917,0.5021806293170836,0.40325234760162953,0.0,0.5358647370699342,0.3219085872224371,0.5416526549407759,0.42249378373497715,0.624867423537969,0.5110169694892525,0.47849137778928585,0.5517115066488313,0.9176254761465003,0.7516662720432004,0.6546961352572291,0.7795002452713009,0.645111889302817,0.9339670884693916,0.885944748692652,0.942483368475406,0.8791717552336021,0.9220083585783663,0.9520467727303387,0.9111913425710362,1.0206907296534045,1.0622330094442012,0.8237823940469566,0.6607422246347161,0.6006824515312795,0.5230679110513646,0.7812508060431284,0.24291703103334306,0.37486688245223454,0.603620705931927,0.636127106535409,0.6505613625273197,0.40852680796979435,0.7802878035609289,0.5420276783768871,0.7815916836459594
Show Recruitment tasks,0.6129201958796745,0.7243356652284538,0.7659261062134497,0.9508109737433704,0.8692887365941158,0.6108983264588352,0.9024852004737384,0.4891462645570438,0.5313800746712197,0.5245317991176512,0.5358647370699342,2.220446049250313e-16,0.47271040918194895,0.5934881472183429,0.547762732084722,0.5911878680619956,0.6370980554636833,0.6197594332376914,0.6767569105116193,0.7992853181120936,0.6635453145050229,0.751027247543585,0.697669534610164,0.7040276348903298,0.9081070249058829,0.7164781194697821,0.9055786272078379,0.8083154490463424,0.8317681908979945,0.8913290503089415,0.84097359138528,0.9688209058029802,1.0442557111590802,0.8273627489572469,0.6739441343356248,0.6600064183597987,0.5886510322918617,0.8641214323777923,0.46859581958737695,0.48603493943833154,0.5916621493508887,0.6766692797954013,0.658021905526093,0.5130580632159849,0.73553902316435,0.6766912167050809,0.8130411150791245
Show all tasks,0.5250355296532335,0.39277240947038516,0.5997853934051984,0.9565644707833039,0.9852698925627814,0.433609177881249,1.0131049441373914,0.2868758178416223,0.3835148105848114,0.29749756529504634,0.3219085872224371,0.47271040918194895,2.220446049250313e-16,0.4844507466070277,0.3205037393161184,0.5422091963949283,0.35739161725267843,0.35929039154314624,0.49078278151874866,0.8419097959454029,0.8312993023783473,0.594945095454102,0.8135612264761242,0.5395407930440614,0.973906450918569,0.9552363088164008,1.0051631363824938,0.95978574275252,0.9755436103249908,0.9884716597560304,0.937667025912114,0.9830667000149479,0.9814467815070319,0.8836329070844909,0.5589604982334444,0.5413254262046567,0.431979083638389,0.7664035086272019,0.11346511186060648,0.23373233265035487,0.5122044902249636,0.5288454825654167,0.5881635592203329,0.25328252541771545,0.7215034199250887,0.45732551695093604,0.8236998016262893
Show continous feedback tasks,0.6958469763092645,0.7247705947138289,0.7339963278957733,0.8908880246261245,0.9819273224173961,0.6289108287920043,0.917091835081531,0.4259894503925479,0.17998947413192912,0.5097758495222595,0.5416526549407759,0.5934881472183429,0.4844507466070277,0.0,0.5675950500256703,0.4972407185558593,0.5241465403131078,0.6409892339777494,0.6734143801668646,0.8386621432441486,0.7992157822153539,0.6789735445842091,0.9389168988176841,0.6438032273539268,0.9398234736831639,0.8709312819711557,0.8985579407400505,0.9072638027091788,0.895195788563934,0.9619027900168734,0.9280986512006055,0.9047709452412134,1.0487448953399534,0.8718247374353489,0.7308405456937648,0.6646700834861561,0.6097157817458253,0.9216378247118715,0.45275953529416413,0.48398525586841346,0.6121649838634828,0.5745013774268009,0.7393965028112747,0.4432222314276115,0.8018524395904301,0.6634999497511817,0.9034730517836917
Show pending tasks in my Que,0.539611994840221,0.5238231959763126,0.49074584044606584,0.9587696792684774,0.9143712897412789,0.27637351841814894,0.8807759165069731,0.35634436268546876,0.45773067412536883,0.40476354256935065,0.42249378373497715,0.547762732084722,0.3205037393161184,0.5675950500256703,0.0,0.6733914532676344,0.5594661476428512,0.3022418401933479,0.368833185839589,0.8198774142885785,0.7416426006789862,0.6297302761789303,0.8290320917762353,0.5243129553077495,0.9190329658537763,0.8560895138511994,0.9457864775247249,0.85530600246913,0.8282543290910788,0.8954990483454389,0.7606565504454044,1.019694957404283,0.9941426534791473,0.8572169847879101,0.6191213595874676,0.3365812688963741,0.27411761030254345,0.7782743098049232,0.30290757308746363,0.11367820120777705,0.6252002630049975,0.6655509553797652,0.6857071220312272,0.4323961268199288,0.7762374709148487,0.31742943386886247,0.857447381115642
Show separation tasks,0.7464886249878566,0.7604535043732533,0.779398969099641,0.8542974148710831,0.9462449701079193,0.7165396061166831,0.9285322519150122,0.5739812993115081,0.5011819934358621,0.6045426448672879,0.624867423537969,0.5911878680619956,0.5422091963949283,0.4972407185558593,0.6733914532676344,2.220446049250313e-16,0.6330226007176727,0.7168331677272881,0.7230362352179753,0.8200433926143484,0.7655987430691755,0.7204641800517575,0.8926951019137447,0.8028089928899467,0.935471172536333,0.849105151204773,0.9181104548102246,0.9060735781665181,0.8901923959965736,0.924210949822381,0.9123994390287125,0.869387067010646,0.9563535599230721,0.777696560214761,0.6381625809470912,0.7629370062498333,0.6865500861485709,0.935808891606615,0.5365823082894523,0.6208265833122504,0.619209066868468,0.6840813897392315,0.7150882311819284,0.48293637733054606,0.7611301450381462,0.7541519632936464,0.9503197320432821
View taskbox,0.7305149463364431,0.6643888269886442,0.7808443057331157,0.8460990134242536,0.96981089676258,0.6499554805977327,0.9847942339724814,0.461761312282272,0.5219227075715447,0.48633171252716867,0.5110169694892525,0.6370980554636833,0.35739161725267843,0.5241465403131078,0.5594661476428512,0.6330226007176727,0.0,0.5634313973615075,0.5895638261327805,0.9261879634386464,0.8393060945972579,0.47463139643993246,0.8842631481709055,0.6037050150850869,0.9624733338680653,0.9201767647089982,0.9753535066063698,0.9745417455404767,0.9451614334284817,0.9401518176606243,0.9210405191193127,1.0418219541275786,0.999970572553944,0.9230481882880528,0.7173769279414632,0.6026976008532614,0.6326440685538146,0.9115358052585913,0.3635131602886371,0.4414004175525874,0.6084778867761038,0.1948109638242428,0.824059961845486,0.3133038996648667,0.8070932258221819,0.5305567406049381,0.8658887403822911
WHERE ARE THE PENDING TASKS,0.463124877120881,0.3666669193495893,0.4196428558371462,0.8587844813867901,0.8585692424119743,0.21918880107631256,0.8488356162419717,0.3913874280617552,0.5754561649108152,0.481119751302034,0.47849137778928585,0.6197594332376914,0.35929039154314624,0.6409892339777494,0.3022418401933479,0.7168331677272881,0.5634313973615075,2.220446049250313e-16,0.20140537090618915,0.8199589018562126,0.7776382762168824,0.6241671566966294,0.7630679329551884,0.4871716625014235,0.8601726420433757,0.9116544535460667,0.8990891845022371,0.8410712026550464,0.7863270549116643,0.8994149070114661,0.7440758845016556,1.0289149162032238,0.8997275909771228,0.8073329268439146,0.49209885256680985,0.2233379435435936,0.1538237781262558,0.7310890043905343,0.3628671849222527,0.21146033734016678,0.5809322999683706,0.608529959884668,0.5915434620952119,0.4418908998015414,0.7138180477517403,0.07421144131946367,0.7728819719512919
What's my pending task,0.3437774870428286,0.3853402771099814,0.3498871283782875,0.8449920320004167,0.8445276594062356,0.291316082540637,0.8052957160825589,0.48404905599068104,0.5940829679831201,0.5738012957355914,0.5517115066488313,0.6767569105116193,0.49078278151874866,0.6734143801668646,0.368833185839589,0.7230362352179753,0.5895638261327805,0.20140537090618915,0.0,0.705315120746419,0.7763965455003565,0.4953819817375027,0.8034778501009148,0.4936378379657894,0.8315564317979565,0.8819912573543588,0.880292588723687,0.8711788815942462,0.7340119188546061,0.8623130209807361,0.7386774580126538,1.0068309038349763,0.8852093235566114,0.8390672449774421,0.45174403887287995,0.15721875880847325,0.18197857713437682,0.79616121848074,0.40849393820286095,0.30495608678057995,0.4582483271066734,0.5188306177211648,0.5603044741440144,0.42487945641860025,0.6391606360435502,0.1431903899224578,0.9391838934758735
cancel out duty,0.6478634957181397,0.7219920028207609,0.6659634338586329,0.6694556759803969,0.6424831231209689,0.7745420775445326,0.838707403901793,0.8137480674960658,0.8184379892457645,0.8773766975150572,0.9176254761465003,0.7992853181120936,0.8419097959454029,0.8386621432441486,0.8198774142885785,0.8200433926143484,0.9261879634386464,0.8199589018562126,0.705315120746419,0.0,0.7477774636341586,0.782068644542234,0.8798893906287529,0.8020312090160377,0.6026238360480602,0.7826699035259249,0.8919800066998956,0.7534702030456109,0.8455884886688237,0.6911027457689674,0.7449508067492352,0.9399532728806247,0.8361974708343805,0.7692763175807207,0.657909193818897,0.7000840982797577,0.6732493403071573,1.0371392709638843,0.8263691998828222,0.8319590652809277,0.6670942599626203,0.8271597618242654,0.7347861835516389,0.755493294808124,0.8617793928148554,0.8090693523744049,0.9534479208388011
check leave requests,0.6535628946716274,0.8159134273117226,0.779326791135927,0.6220596968240513,0.5464005362007552,0.732826298917614,0.826647420546489,0.6741497743005831,0.7950207144854357,0.8261676468820758,0.7516662720432004,0.6635453145050229,0.8312993023783473,0.7992157822153539,0.7416426006789862,0.7655987430691755,0.8393060945972579,0.7776382762168824,0.7763965455003565,0.7477774636341586,0.0,0.8443467832883064,0.373956843941346,0.9170590184186814,0.5037676988480724,0.5105709341315896,0.711142556505976,0.6399724274075801,0.7613468021497236,0.6509110501226526,0.6863850875457804,1.0523501130424018,1.0253280242562255,0.5160263379845915,0.8264229619506409,0.7935116706241246,0.7317123953489364,1.07822350792072,0.7843532948661022,0.7145845572864487,0.8749462209011379,0.845028299971776,0.8328710811036859,0.7880234068716556,0.9456093662263153,0.7819626225661263,0.6976822065314736
di task box raised by me masih ada,0.5878636654026346,0.6041903363983742,0.6598045472988767,0.7417987357662101,0.8522764727009958,0.5964406542851206,0.8151262801709533,0.6264007938567449,0.6601419675519536,0.7044797850513336,0.6546961352572291,0.751027247543585,0.594945095454102,0.6789735445842091,0.6297302761789303,0.7204641800517575,0.47463139643993246,0.6241671566966294,0.4953819817375027,0.782068644542234,0.8443467832883064,0.0,0.8477932066063041,0.5461773078135835,0.840929781242482,0.8735438327347274,0.9474183431066423,0.8948244280663638,0.8397783437031285,0.8411336578002926,0.7618163479061618,0.9798732854765451,0.8388087788868505,0.8042302199164704,0.5865181443015839,0.5306673787710499,0.5882291285481523,0.7832371079284046,0.5313218543058449,0.5998243134844876,0.5384303417365868,0.4047652247700825,0.7268777481785975,0.5181536161734888,0.74970161887115,0.5304903310701421,0.914906467892174
find my leave application,0.7746899155473974,0.7888280374292761,0.9473799409696516,0.680163632759806,0.40405482183822483,0.8345927609962418,0.9204946641640627,0.7947856230732595,0.8841159355475565,0.8205454346518056,0.7795002452713009,0.697669534610164,0.8135612264761242,0.9389168988176841,0.8290320917762353,0.8926951019137447,0.8842631481709055,0.7630679329551884,0.8034778501009148,0.8798893906287529,0.373956843941346,0.8477932066063041,0.0,0.9108045777541598,0.4342474640610875,0.6680552321418649,0.8010547620240807,0.7148526439616247,0.8386146900165742,0.7095478535032991,0.7391223129034716,0.9933979307125408,0.9629340907921632,0.5296376481883516,0.8499421489922862,0.8708120064823576,0.8619779176705131,0.9635276962976258,0.753876507001588,0.8098302409662456,0.9137927059090004,0.926708970710481,0.8664553466012139,0.8259707490217485,0.9368025335144508,0.7605000577879787,0.5434522709306122
how can I update task,0.6002698520078169,0.5133549154364667,0.5810827237758606,0.8264510103541336,0.8494723179718126,0.521190992180659,0.6575040945913961,0.5489389511872684,0.6134885361988651,0.626988211225868,0.645111889302817,0.7040276348903298,0.5395407930440614,0.6438032273539268,0.5243129553077495,0.8028089928899467,0.6037050150850869,0.4871716625014235,0.4936378379657894,0.8020312090160377,0.9170590184186814,0.5461773078135835,0.9108045777541598,0.0,0.820307175595123,0.8936396707927472,0.909446536370111,0.8453739521158739,0.7471384423765384,0.8295028149976991,0.674964126495275,0.9584761213810267,0.8679586566638966,0.6834448475555017,0.4955302147851488,0.44289297943538963,0.48064603998918487,0.7575423294487258,0.5004825141054117,0.5355045067016843,0.4807183349610963,0.57336708216979,0.7123762809611274,0.4528225392224614,0.7501367204235707,0.4259348368151532,0.9130281489040394
how do i cancel my leave appliaction,0.8454071596927765,0.830577598629829,0.9231533254473374,0.37482340230672273,0.07510150819718076,0.8797566063228639,0.7176114648182136,0.8489852539272784,0.9445592316833109,0.9490827112174016,0.9339670884693916,0.9081070249058829,0.973906450918569,0.9398234736831639,0.9190329658537763,0.935471172536333,0.9624733338680653,0.8601726420433757,0.8315564317979565,0.6026238360480602,0.5037676988480724,0.840929781242482,0.4342474640610875,0.820307175595123,0.0,0.6234398101554641,0.702087711654725,0.5093403315839533,0.6958798799577006,0.376527578592721,0.4749635215733863,0.9011095461899242,0.7116456165276595,0.3864178828610626,0.8361338261330389,0.8427183557882563,0.8757666593876904,0.9645454689230056,0.887698278172212,0.9162329640797685,0.9201459051814822,0.9346556028946313,0.8813108309584113,0.9281618476643153,0.9685564400182617,0.8346349822106444,0.6727864693343608
how to approve attendance,0.8191927009259969,0.959941788404982,0.8967490128119503,0.8301816918171019,0.6261271057750386,0.8869878180202,0.5606004435782367,0.685481506763068,0.8767112209880795,0.8656136025811039,0.885944748692652,0.7164781194697821,0.9552363088164008,0.8709312819711557,0.8560895138511994,0.849105151204773,0.9201767647089982,0.9116544535460667,0.8819912573543588,0.7826699035259249,0.5105709341315896,0.8735438327347274,0.6680552321418649,0.8936396707927472,0.6234398101554641,2.220446049250313e-16,0.4830193269742282,0.49964672866253423,0.4065004612735654,0.33007705873025206,0.3818046662008606,0.9679467780499547,0.9696075702879261,0.7014538940178785,0.880055393780087,0.862783231951916,0.8634127706885448,1.0017710961446906,0.8792488148671592,0.8450076120365657,0.869688586722509,0.9303506407777523,0.8513657732423386,0.8566144375974005,0.9381352235268595,0.8994085202037146,0.8448733087751632
how to approve reimbursement,0.8658736146519499,0.9316059429172637,0.8961361314849142,0.8406803490240872,0.7202873108717037,0.9099794322462003,0.5112557213865805,0.7513687818811381,0.9201554718342678,0.9057775221727286,0.942483368475406,0.9055786272078379,1.0051631363824938,0.8985579407400505,0.9457864775247249,0.9181104548102246,0.9753535066063698,0.8990891845022371,0.880292588723687,0.8919800066998956,0.711142556505976,0.9474183431066423,0.8010547620240807,0.909446536370111,0.702087711654725,0.4830193269742282,1.1102230246251565e-16,0.5652463493625903,0.38289345688742304,0.690110872157659,0.7226693933502074,0.9617842555843801,0.917772095458404,0.7620538468040242,0.8643829656821398,0.8926270363236699,0.8936079454395054,0.9490949424821109,0.9426265133721025,0.9340675043530708,0.9307120018017652,0.9692576737979397,0.8590429151658612,0.9362937972127204,0.9910740490081483,0.8899442380902097,0.9297846974282336
how to approve resignations,0.8729877180827603,0.9062832228985809,0.8587938793599507,0.7099220874986116,0.5135463873957011,0.8438533999891586,0.5049092216296682,0.7320263614851529,0.9354018466668121,0.9060345582963261,0.8791717552336021,0.8083154490463424,0.95978574275252,0.9072638027091788,0.85530600246913,0.9060735781665181,0.9745417455404767,0.8410712026550464,0.8711788815942462,0.7534702030456109,0.6399724274075801,0.8948244280663638,0.7148526439616247,0.8453739521158739,0.5093403315839533,0.49964672866253423,0.5652463493625903,0.0,0.4425386418036579,0.5958699235181433,0.6375065179400383,0.9178232666340621,0.8105813977445021,0.6756952165126437,0.8237460354261217,0.8398023479775908,0.81009022467091,1.011669608059483,0.9224705873599145,0.8449333496723267,0.8820305764288754,0.9456140151946782,0.8526825533910909,0.9381642889537636,0.9477349063853543,0.843305755617696,0.4908864613052313
how to approve?,0.8465318035033007,0.9045406447738187,0.7876488430997404,0.8044817432042964,0.650631215020099,0.8059808798025851,0.22584221728151443,0.6276008335054466,0.9212194228186994,0.8835733485145384,0.9220083585783663,0.8317681908979945,0.9755436103249908,0.895195788563934,0.8282543290910788,0.8901923959965736,0.9451614334284817,0.7863270549116643,0.7340119188546061,0.8455884886688237,0.7613468021497236,0.8397783437031285,0.8386146900165742,0.7471384423765384,0.6958798799577006,0.4065004612735654,0.38289345688742304,0.4425386418036579,0.0,0.6090112692768498,0.5582738917669723,0.8215366239126505,0.8570779420325764,0.6715356607519014,0.8253881750057783,0.7083858083581038,0.7576706750427553,0.8858459589930185,0.8929422685923953,0.8055909255581739,0.7986776193342655,0.9257380668968113,0.7914702853220669,0.8524371393068448,0.9290862034945013,0.7447855837664819,0.9320602249447713
how to cancel attendance request,0.8955080602665793,0.9078716676952885,0.9275764567084276,0.6083374413345168,0.3479396078952298,0.927418202400334,0.6676090055851559,0.8044382060032155,0.960022257848314,0.9292228776042307,0.9520467727303387,0.8913290503089415,0.9884716597560304,0.9619027900168734,0.8954990483454389,0.924210949822381,0.9401518176606243,0.8994149070114661,0.8623130209807361,0.6911027457689674,0.6509110501226526,0.8411336578002926,0.7095478535032991,0.8295028149976991,0.376527578592721,0.33007705873025206,0.690110872157659,0.5958699235181433,0.6090112692768498,2.220446049250313e-16,0.12105198939708584,0.9687903991546585,0.7565250980616248,0.6335143042998042,0.8110084724767824,0.8220934087439572,0.8651209890900301,0.9914898009118578,0.9376077340065765,0.9025537300047811,0.8928205070864708,0.9306033081841667,0.9191820086445386,0.925096459011115,0.9738900314727146,0.8624701068007945,0.7866028371578437
