,Can't view Reimbursement history.,"Hi, I have problem opening the historycal reimbursement details.",How can I modify / delete reimbursement claim,I am talking about reimbursement.,Reimbursement history,Reimbursement view,View claims,View reimbursement,What are my reimbursements,check expenses claimed,check reimbursements,how to edit travel booking,my expenses,reimbursement details,reimbursement eligibility,reimbursement policy,show expenses,show me my reimbursements,show me reimbursement,show my pending reimbursement,show reimbursement,view expenses,view expenses claimed,view reimbursemen,view reimbursement,view reimbursements,when will I get my reimbursement money,where is my reimbursement request
reimbursement eligibility,0.4278640387771311,0.5082940141677499,0.4778033292103455,0.2891478344780606,0.29410174086452234,0.2558987842652849,0.8155856904320563,0.27115610472338325,0.2368248361546681,0.573005251037223,0.265921193474406,0.9449792534929933,0.7530465185881794,0.22061510507167803,0.0,0.21267954737588413,0.6920953864730316,0.3421352556177374,0.30859254176334106,0.4296291969678462,0.28118664265756754,0.7641715559019103,0.6542240877187069,0.3241025759015239,0.27115610472338325,0.2855606138035476,0.34664673900670173,0.33983956072858235
reimbursement policy,0.46553085985291964,0.5061934141753268,0.4965812042995923,0.2942123135707323,0.22383358797783004,0.1960527004172432,0.7853871887144485,0.246110737005798,0.21316128697021097,0.5970304166149716,0.23621141970532922,0.876117297410289,0.6509878055735026,0.14748862568025,0.21267954737588413,0.0,0.6143659086917068,0.3246208153074418,0.2820295140585345,0.468189647383075,0.30054500571789444,0.6614456484504795,0.6703528216452498,0.29093506116667056,0.246110737005798,0.27820261501615307,0.3525431754419067,0.3217903022872376
show expenses,0.6082031708572913,0.6945745364446541,0.7349320759640262,0.6474937287768329,0.5382535010357705,0.5110599052780067,0.6908308849438978,0.4484465077045374,0.5900132226365389,0.43228264385548787,0.5045878866778095,0.8219909472243976,0.36321950936262337,0.544916880714249,0.6920953864730316,0.6143659086917068,0.0,0.4662246653978337,0.4626517600823533,0.4647027290408188,0.3479815179194613,0.20670018150667324,0.2575390754303395,0.49882951662461394,0.4484465077045374,0.44484732504119695,0.7585832088340402,0.6305932102150318
show me my reimbursements,0.34562358913880875,0.4330415107492288,0.47738729471771524,0.43670320726902,0.30017364990538553,0.2370924495850507,0.6707502135712449,0.16380442799796802,0.2173112745585951,0.5103337141419918,0.20191383845024669,0.8510351699047768,0.4881823889482859,0.2710819411393125,0.3421352556177374,0.3246208153074418,0.4662246653978337,0.0,0.04372738637330842,0.19422958571363125,0.15146427477261193,0.5288835006944801,0.45089602495935177,0.1987291098503423,0.16380442799796802,0.15650123085790713,0.31519325558891675,0.22978712833550974
show me reimbursement,0.3813712021318246,0.4254484290065895,0.4855674560222769,0.422233294911045,0.286938660082216,0.2276237033395464,0.6929313984691573,0.15283363546785744,0.22727256351064273,0.5329233374945317,0.2014144783061943,0.8405330868173678,0.5240722737311989,0.20805611835381976,0.30859254176334106,0.2820295140585345,0.4626517600823533,0.04372738637330842,0.0,0.24172306965960166,0.11430972320077515,0.5477338710025154,0.49291041903111565,0.2079692928713328,0.15283363546785744,0.16818118917655278,0.3297063242277257,0.23837506582483659
show my pending reimbursement,0.33993581150680663,0.4921933055194547,0.466081954100965,0.48151640647603144,0.37993118137826687,0.30860417360222914,0.73950876994121,0.22348797189469516,0.3931437411488542,0.5420546072970679,0.3089124287220081,0.8111895519887367,0.690110202025544,0.4014844108479644,0.4296291969678462,0.468189647383075,0.4647027290408188,0.19422958571363125,0.24172306965960166,1.1102230246251565e-16,0.17749789049940445,0.5526832165478688,0.42940255098160607,0.2497213767487232,0.22348797189469516,0.1985210545753221,0.4018748059312507,0.3338660376773438
show reimbursement,0.36397842545078174,0.47564105276786406,0.4436361495034682,0.3871256781759529,0.258397035811854,0.21593744038961427,0.7025562810145007,0.13992972390764935,0.29147973754774703,0.47993026747166645,0.2138804787957097,0.8268177027885485,0.6265232340537836,0.2262781496981615,0.28118664265756754,0.30054500571789444,0.3479815179194613,0.15146427477261193,0.11430972320077515,0.17749789049940445,0.0,0.5409766874233197,0.4351484079700715,0.21115901214572486,0.13992972390764935,0.1448123452136475,0.3979044332808619,0.3154425379389777
view expenses,0.5254072058015845,0.6557721034611075,0.8120422322060649,0.6578917075875521,0.5674471131021779,0.4334832497577794,0.5378454805243713,0.36092501352685147,0.6430451373099566,0.561463782077905,0.5531876820403367,0.8351807904552766,0.404176113896641,0.602082046862191,0.7641715559019103,0.6614456484504795,0.20670018150667324,0.5288835006944801,0.5477338710025154,0.5526832165478688,0.5409766874233197,0.0,0.19009530648544515,0.4080886436514337,0.36092501352685147,0.377223210503946,0.7711346580521928,0.6382317066841969
view expenses claimed,0.4368177819332488,0.6249879149891325,0.6333010333081317,0.603975795429253,0.5022477769773681,0.45893018153095866,0.47741940945631545,0.34797558229585857,0.562849207959971,0.3070537068343593,0.47257874188433646,0.8600020219359902,0.5138177361153557,0.5669113666216449,0.6542240877187069,0.6703528216452498,0.2575390754303395,0.45089602495935177,0.49291041903111565,0.42940255098160607,0.4351484079700715,0.19009530648544515,0.0,0.3914867938648495,0.34797558229585857,0.30965260242373716,0.6715358454817654,0.5362490295589175
view reimbursemen,0.26548759604196104,0.44629130495669445,0.4862979181491526,0.3433464940671406,0.2366107912583405,0.14727168370902743,0.6005094679827441,0.06856112546857573,0.34117946906953167,0.5748338749251811,0.22254467931472288,0.8512408962330943,0.6397534268977094,0.2549450866044709,0.3241025759015239,0.29093506116667056,0.49882951662461394,0.1987291098503423,0.2079692928713328,0.2497213767487232,0.21115901214572486,0.4080886436514337,0.3914867938648495,0.0,0.06856112546857573,0.0681161887724081,0.4332939904409351,0.30690792741628403
view reimbursement,0.26205116162529296,0.42401184296956806,0.4585731772539493,0.3211250090717127,0.22935362507710122,0.07441901078197743,0.5732669365276748,0.0,0.2659948598733609,0.5307252799153344,0.19889327879988927,0.8186568416093405,0.6056337811967185,0.19706793947335366,0.27115610472338325,0.246110737005798,0.4484465077045374,0.16380442799796802,0.15283363546785744,0.22348797189469516,0.13992972390764935,0.36092501352685147,0.34797558229585857,0.06856112546857573,0.0,0.03319847816523924,0.3771859687727672,0.27500379621628424
view reimbursements,0.2139805188626812,0.4218978194519146,0.45044598758749965,0.32295568106294137,0.19423020124075385,0.13658490848427696,0.5913410571638718,0.03319847816523924,0.25497916185121694,0.4990611798854936,0.16617033376102053,0.8216459873427787,0.6331601984985422,0.2049425183643201,0.2855606138035476,0.27820261501615307,0.44484732504119695,0.15650123085790713,0.16818118917655278,0.1985210545753221,0.1448123452136475,0.377223210503946,0.30965260242373716,0.0681161887724081,0.03319847816523924,1.1102230246251565e-16,0.35628170266227766,0.24489610615502644
when will I get my reimbursement money,0.44972641563904336,0.5259069321929244,0.5560602843329652,0.46525871697091703,0.3611449809112184,0.40140991269905524,0.8473260898422008,0.3771859687727672,0.22633773530994605,0.6090306587355447,0.32445114591623747,0.9762871778995226,0.747881452938582,0.29480023924799925,0.34664673900670173,0.3525431754419067,0.7585832088340402,0.31519325558891675,0.3297063242277257,0.4018748059312507,0.3979044332808619,0.7711346580521928,0.6715358454817654,0.4332939904409351,0.3771859687727672,0.35628170266227766,1.1102230246251565e-16,0.27013438500435294
where is my reimbursement request,0.3107946893849419,0.43223829799917657,0.40763416311526623,0.4847831708701813,0.308244330970993,0.33653671497031734,0.7437398875286878,0.27500379621628424,0.2249443726492273,0.5235460058101343,0.22706283856434317,0.8020882056356259,0.6208640437166255,0.24638457900211186,0.33983956072858235,0.3217903022872376,0.6305932102150318,0.22978712833550974,0.23837506582483659,0.3338660376773438,0.3154425379389777,0.6382317066841969,0.5362490295589175,0.30690792741628403,0.27500379621628424,0.24489610615502644,0.27013438500435294,2.220446049250313e-16
