,View Ram's attendance summery,View Ram's attendnace page,View ram's attendance page,View reportee's attendance,check number of absent days of my reportee,check number of present days of my subordinate,employee's attendance page,go to ram's attendance view,how is ram's attendance this month,how many of my reportees are in the office yesterday?,how many of my reportees are in the office?,i want to see ram's absent days in this month,see weekly off of my reportee,see weekly off of my subordinate,show attendance page of my team,show attendance summary of my reportees,team attendance,view attendance policy of my subordinate,view shift of my subordinate,view the attendance assignments of my team members
how many of my reportees are in the office?,0.6738354464119063,0.8378837903159035,0.6959076625288154,0.47224945680612895,0.4960248907707473,0.5948012554995503,0.6558009562990256,0.6013615508534704,0.6405794332438131,0.07649817258772407,0.0,0.7769744291708395,0.5775505791520721,0.7115188131507053,0.6788841341390726,0.42001766260296114,0.6287827284035665,0.6807215841783107,0.8159081057952406,0.6094237613148618
i want to see ram's absent days in this month,0.2130877005002113,0.3881841640127619,0.32534235754925356,0.6005687793084555,0.47079887489625805,0.5334446826318573,0.6150218312446647,0.2767672982757343,0.3345439212973643,0.6767045927667054,0.7769744291708395,0.0,0.6430221747970806,0.7386460812418408,0.685504978908507,0.6190012558137177,0.8315511776069029,0.6023242194565679,0.9462011155512209,0.6714560669880394
see weekly off of my reportee,0.6271046873876831,0.8269176584172617,0.7254292612349147,0.49008864729937673,0.5529724376108675,0.6708129487295215,0.7304289135569153,0.6204889044619525,0.6558461661110154,0.553350872725386,0.5775505791520721,0.6430221747970806,0.0,0.39267181550842356,0.7368156752291799,0.5345321445211626,0.8318502023578525,0.6588687003970471,0.8412101452355173,0.6836230331397357
see weekly off of my subordinate,0.7376228922596901,0.8746753325000738,0.7994269754007082,0.5727872405460501,0.6422552763050378,0.45238020711357696,0.6072084896162533,0.7441184076009375,0.8081755544782212,0.7151643002791932,0.7115188131507053,0.7386460812418408,0.39267181550842356,0.0,0.7476678881444694,0.68501296299018,0.8777395866739969,0.3477140794667193,0.47986875200361834,0.6127990241336837
show attendance page of my team,0.5246791508277258,0.651221758345176,0.4718124361049839,0.45483505442739036,0.6198750210174271,0.7554986112410221,0.3778007502223697,0.4340037240691217,0.6777772145377626,0.6892307733196509,0.6788841341390726,0.685504978908507,0.7368156752291799,0.7476678881444694,0.0,0.3680473790575427,0.31860569618128864,0.5971436443150859,0.9482832193247015,0.23317496128395254
show attendance summary of my reportees,0.5210734218983082,0.6938192147397362,0.4814117944104056,0.1611892036299738,0.3220726702937097,0.5928167953767026,0.3895142042248,0.4096338742343848,0.639394824852866,0.4356967673771155,0.42001766260296114,0.6190012558137177,0.5345321445211626,0.68501296299018,0.3680473790575427,1.1102230246251565e-16,0.6310266679243157,0.48744823226790435,0.8932448303252329,0.3699072394198657
team attendance,0.6062717157869294,0.8361054892374571,0.6525771201475985,0.6206282412822892,0.7452821730170796,0.840745680083326,0.6074745493516842,0.5096133629370188,0.6029276055190862,0.6382930270722385,0.6287827284035665,0.8315511776069029,0.8318502023578525,0.8777395866739969,0.31860569618128864,0.6310266679243157,2.220446049250313e-16,0.6995593815954997,0.9663230823300268,0.4036079985248926
view attendance policy of my subordinate,0.6029494878554087,0.7417836552441778,0.5638245161089446,0.3473941648868356,0.4320609279212918,0.3817200845359343,0.33869169192793336,0.4924310770831608,0.666543212863129,0.6748937888344102,0.6807215841783107,0.6023242194565679,0.6588687003970471,0.3477140794667193,0.5971436443150859,0.48744823226790435,0.6995593815954997,0.0,0.5632866244590082,0.4002064020742233
view shift of my subordinate,0.9090958213399918,0.9725999945418858,0.9689559463025443,0.8101173226547305,0.9298816908710206,0.6946218055948976,0.8789308155234729,0.9199163923134513,0.9433257455070118,0.8656907433020031,0.8159081057952406,0.9462011155512209,0.8412101452355173,0.47986875200361834,0.9482832193247015,0.8932448303252329,0.9663230823300268,0.5632866244590082,2.220446049250313e-16,0.8670381644208152
view the attendance assignments of my team members,0.5655477854039855,0.7028388132079257,0.5274480980325743,0.3520644795717355,0.4672044546058306,0.6369339662894092,0.3979602645381932,0.4372733978269778,0.6939766045603506,0.6093916771813022,0.6094237613148618,0.6714560669880394,0.6836230331397357,0.6127990241336837,0.23317496128395254,0.3699072394198657,0.4036079985248926,0.4002064020742233,0.8670381644208152,0.0
